,id,name,artists,duration,explicit,popularity
33,72q6LBo0Uz1Sca3snGlNnY,The Cactus,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",228317,False,31
34,1WD6caqwjdC56a0GXCEBIu,For Sebastian from a Friend,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",235108,False,31
35,37ldJ1E5iP479YDJLBYdC8,Elizabeth & Elizabeth,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",130410,False,28
36,6dpLsuZWPwwmoeI8m4ts75,Hi Too Loo Rye,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",168810,False,28
37,79iP7K7nbyUk6N1QznIrd6,Bride and Groom Hot Air Balloon,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",235056,False,28
38,3yvMsuRtCeYtIApFeSW88F,Of My Brothers and the Bear,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",227611,False,28
39,1pbhB3xpVOAb9ZJBpPVLDN,Workers,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",194018,False,26
40,6gg4kqSEswG3QFY1KoFkQ0,guaifenesin,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0qdYyb3F4y3i3J4zYrA21k'}, 'href': 'https://api.spotify.com/v1/artists/0qdYyb3F4y3i3J4zYrA21k', 'id': '0qdYyb3F4y3i3J4zYrA21k', 'name': 'Outside Yeti', 'type': 'artist', 'uri': 'spotify:artist:0qdYyb3F4y3i3J4zYrA21k'}]",253483,False,0
41,0kDSTZKx3Nmcls5l99vQ65,ope.,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0qdYyb3F4y3i3J4zYrA21k'}, 'href': 'https://api.spotify.com/v1/artists/0qdYyb3F4y3i3J4zYrA21k', 'id': '0qdYyb3F4y3i3J4zYrA21k', 'name': 'Outside Yeti', 'type': 'artist', 'uri': 'spotify:artist:0qdYyb3F4y3i3J4zYrA21k'}]",273825,False,0
42,65EE4el7tEl2nqjslrFL1k,still in the damn circle,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0qdYyb3F4y3i3J4zYrA21k'}, 'href': 'https://api.spotify.com/v1/artists/0qdYyb3F4y3i3J4zYrA21k', 'id': '0qdYyb3F4y3i3J4zYrA21k', 'name': 'Outside Yeti', 'type': 'artist', 'uri': 'spotify:artist:0qdYyb3F4y3i3J4zYrA21k'}]",254117,False,0
