,name,id,stage,year,genres,followers,popularity
1582,Sparks,2AQjGvtT0pFYfxR3neFcvz,Mojave Tent,2013,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']","{'href': None, 'total': 2370916}",58
1583,Palma Violets,3sVKVwY8TD445BiC6Q4B43,Mojave Tent,2013,"['british indie rock', 'indie rock']","{'href': None, 'total': 60045}",22
1584,Alt-J,3XHO7cRUPCLOr6jwp8vsx5,Mojave Tent,2013,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']","{'href': None, 'total': 3249135}",67
1585,Alt-J,3XHO7cRUPCLOr6jwp8vsx5,Outdoor Theatre,2018,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']","{'href': None, 'total': 3249135}",67
1586,Johnny Marr,2bA2YuQk2ID3PWNXUhQrWS,Mojave Tent,2013,"['britpop', 'solo wave']","{'href': None, 'total': 135331}",46
1587,Jake Bugg,4hf3caW9H8uFwwbv5pFjcg,Mojave Tent,2013,"['modern rock', 'nottingham indie']","{'href': None, 'total': 789637}",53
1588,Youth Lagoon,1Z2KInfSmPOzAIYyiaXeti,Mojave Tent,2013,"['chamber pop', 'chillwave', 'dream pop', 'experimental pop', 'idaho indie', 'indie rock', 'indietronica', 'shimmer pop', 'stomp and holler']","{'href': None, 'total': 216425}",42
1589,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,Mojave Tent,2013,"['indie folk', 'stomp and holler']","{'href': None, 'total': 1552378}",72
1590,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,Outdoor Theatre,2016,"['indie folk', 'stomp and holler']","{'href': None, 'total': 1552378}",72
1591,You Me & Us,2v2k5T4PD7YlNEI09Rvbc4,Mojave Tent,2013,['binaural'],"{'href': None, 'total': 620}",7
1592,Modestep,5zYJziKktyqWwmoAWXrShP,Sahara Tent,2013,"['brostep', 'filthstep']","{'href': None, 'total': 336436}",42
1593,Dog Blood,2amyu5pkgYMYdNQZmB3GgY,Sahara Tent,2013,"['brostep', 'electro house', 'electronic trap']","{'href': None, 'total': 58115}",31
